set,pdbid,-logKd/Ki
pdbbind,2r58,2.00
pdbbind,3c2f,2.00
pdbbind,3g2y,2.00
pdbbind,3pce,2.00
pdbbind,4qsu,2.00
pdbbind,4qsv,2.00
pdbbind,4u54,2.06
pdbbind,3ao4,2.07
pdbbind,4cs9,2.10
pdbbind,2w8w,2.12
pdbbind,3gv9,2.12
pdbbind,6r9u,2.12
pdbbind,6abx,2.14
pdbbind,4q90,2.15
pdbbind,5cs3,2.15
pdbbind,4tim,2.16
pdbbind,5fe6,2.16
pdbbind,6ghj,2.16
pdbbind,3gqz,2.17
pdbbind,4y3j,2.17
pdbbind,5oxk,2.17
pdbbind,5z5f,2.17
pdbbind,4ahr,2.19
pdbbind,4ahs,2.19
pdbbind,4mre,2.19
pdbbind,1x8d,2.21
pdbbind,4g0z,2.21
pdbbind,1m0n,2.22
pdbbind,2aac,2.22
pdbbind,4aci,2.22
pdbbind,4ury,2.22
pdbbind,1ajp,2.23
pdbbind,3ao5,2.23
pdbbind,3i3b,2.23
pdbbind,5m9w,2.24
pdbbind,1ew8,2.26
pdbbind,4np2,2.26
pdbbind,1uto,2.27
pdbbind,4ahu,2.27
pdbbind,1ps3,2.28
pdbbind,3ip8,2.28
pdbbind,4ddk,2.29
pdbbind,3dyo,2.30
pdbbind,3kgq,2.30
pdbbind,3mhw,2.30
pdbbind,3pcg,2.30
pdbbind,3rv4,2.30
pdbbind,4g0y,2.30
pdbbind,4jsz,2.30
pdbbind,1m0o,2.31
pdbbind,4y0a,2.31
pdbbind,5mz8,2.31
pdbbind,5aol,2.32
pdbbind,4iie,2.34
pdbbind,3gtc,2.35
pdbbind,4y3y,2.35
pdbbind,3g2z,2.36
pdbbind,5fsc,2.36
pdbbind,3t0d,2.37
pdbbind,6rnt,2.37
pdbbind,3f6e,2.38
pdbbind,6md8,2.38
pdbbind,1f73,2.39
pdbbind,1nwl,2.39
pdbbind,4u5s,2.41
pdbbind,4u5o,2.42
pdbbind,6mli,2.43
pdbbind,1oba,2.44
pdbbind,3mjl,2.44
pdbbind,4ddm,2.46
pdbbind,4x8u,2.46
pdbbind,1utl,2.47
pdbbind,4y4j,2.47
pdbbind,6fhq,2.47
pdbbind,1gyx,2.48
pdbbind,4u5n,2.48
pdbbind,5mn1,2.48
pdbbind,4efk,2.49
pdbbind,4kz7,2.49
pdbbind,1ai4,2.50
pdbbind,3g30,2.51
pdbbind,3gr2,2.52
pdbbind,3mfv,2.52
pdbbind,3vdb,2.52
pdbbind,4g0q,2.52
pdbbind,4urz,2.52
pdbbind,4hj2,2.53
pdbbind,3b3s,2.55
pdbbind,3ovn,2.55
pdbbind,1gwv,2.57
pdbbind,3kgp,2.57
pdbbind,3gvb,2.59
pdbbind,4o3c,2.59
pdbbind,2r5a,2.60
pdbbind,4up5,2.60
pdbbind,5g46,2.60
pdbbind,3f37,2.62
pdbbind,5lvd,2.62
pdbbind,1ajn,2.63
pdbbind,4i8x,2.64
pdbbind,4q7w,2.64
pdbbind,4q8y,2.64
pdbbind,4ufl,2.64
pdbbind,6fhu,2.64
pdbbind,5ey0,2.65
pdbbind,3a1e,2.66
pdbbind,3lvw,2.67
pdbbind,4b3c,2.68
pdbbind,4b3d,2.68
pdbbind,3elc,2.69
pdbbind,2fzc,2.70
pdbbind,2uyn,2.70
pdbbind,3bra,2.70
pdbbind,6nmb,2.70
pdbbind,1pfu,2.72
pdbbind,2rkd,2.72
pdbbind,5fsx,2.72
pdbbind,2qwb,2.74
pdbbind,2vyt,2.74
pdbbind,4m6u,2.74
pdbbind,4ndu,2.74
pdbbind,5os2,2.74
pdbbind,1rql,2.75
pdbbind,4bt5,2.76
pdbbind,5er4,2.76
pdbbind,2bet,2.77
pdbbind,3fcq,2.77
pdbbind,4kz3,2.77
pdbbind,4ykk,2.77
pdbbind,6g24,2.77
pdbbind,5os4,2.78
pdbbind,2bza,2.80
pdbbind,5fbi,2.80
pdbbind,5fov,2.80
pdbbind,3djx,2.81
pdbbind,4rrg,2.81
pdbbind,3lka,2.82
pdbbind,3ppr,2.82
pdbbind,4dsu,2.82
pdbbind,4k7i,2.82
pdbbind,6mj7,2.82
pdbbind,3zt2,2.84
pdbbind,3udh,2.85
pdbbind,5th4,2.85
pdbbind,3zt3,2.86
pdbbind,1cet,2.89
pdbbind,1iih,2.89
pdbbind,3g31,2.89
pdbbind,4b35,2.89
pdbbind,4gqq,2.89
pdbbind,4llx,2.89
pdbbind,5flt,2.89
pdbbind,5ngz,2.89
pdbbind,5orv,2.89
pdbbind,6b7b,2.89
pdbbind,3c2u,2.90
pdbbind,1h2k,2.92
pdbbind,2fw6,2.92
pdbbind,3alt,2.92
pdbbind,3k8c,2.92
pdbbind,4ai5,2.92
pdbbind,4ef6,2.92
pdbbind,4lm3,2.92
pdbbind,4y2q,2.92
pdbbind,5ct2,2.92
pdbbind,6fv4,2.92
pdbbind,1tng,2.93
pdbbind,4zv2,2.93
pdbbind,2vmc,2.94
pdbbind,1f4e,2.96
pdbbind,2w8j,2.96
pdbbind,3g34,2.96
pdbbind,3imc,2.96
pdbbind,4dst,2.96
pdbbind,4mrg,2.96
pdbbind,4owm,2.96
pdbbind,5fng,2.96
pdbbind,6r9x,2.96
pdbbind,4ceb,2.97
pdbbind,5flq,2.97
pdbbind,3ckb,2.98
pdbbind,3djq,2.98
pdbbind,4ibc,2.98
pdbbind,5aba,2.98
pdbbind,4bps,2.99
pdbbind,1ecq,3.00
pdbbind,1ws4,3.00
pdbbind,2q8h,3.00
pdbbind,2rka,3.00
pdbbind,2v3u,3.00
pdbbind,3ime,3.00
pdbbind,4b2i,3.00
pdbbind,4k0o,3.00
pdbbind,4l51,3.00
pdbbind,4llk,3.00
pdbbind,4r3w,3.00
pdbbind,4u0w,3.00
pdbbind,5ehw,3.00
pdbbind,6ftz,3.00
pdbbind,6quv,3.00
pdbbind,1utm,3.01
pdbbind,4g0p,3.01
pdbbind,2vmd,3.02
pdbbind,4q81,3.02
pdbbind,1ogd,3.03
pdbbind,2ha3,3.03
pdbbind,4lm2,3.03
pdbbind,4qp2,3.03
pdbbind,5aoi,3.03
pdbbind,1rtf,3.04
pdbbind,3t08,3.04
pdbbind,3t1m,3.04
pdbbind,4i7k,3.04
pdbbind,4lm4,3.04
pdbbind,5fls,3.04
pdbbind,1f74,3.05
pdbbind,1uj5,3.05
pdbbind,4g5f,3.05
pdbbind,6ncn,3.05
pdbbind,1rnm,3.07
pdbbind,3mof,3.07
pdbbind,6fh3,3.07
pdbbind,1y1z,3.08
pdbbind,5ehv,3.08
pdbbind,1ec9,3.10
pdbbind,2xdl,3.10
pdbbind,3buf,3.10
pdbbind,3f78,3.10
pdbbind,4cjr,3.10
pdbbind,4kz6,3.10
pdbbind,5eh8,3.10
pdbbind,5orw,3.10
pdbbind,3c2r,3.11
pdbbind,4bt3,3.12
pdbbind,4cgi,3.12
pdbbind,5ey4,3.12
pdbbind,1ax0,3.13
pdbbind,5c5t,3.13
pdbbind,6d1k,3.13
pdbbind,2ya7,3.14
pdbbind,4b34,3.14
pdbbind,6g27,3.14
pdbbind,1e6q,3.15
pdbbind,4de5,3.15
pdbbind,4fzj,3.15
pdbbind,5flo,3.15
pdbbind,5fnf,3.15
pdbbind,6a87,3.15
pdbbind,2ymd,3.16
pdbbind,3f34,3.16
pdbbind,5fot,3.17
pdbbind,5fox,3.17
pdbbind,5ose,3.17
pdbbind,1lbk,3.18
pdbbind,3bug,3.18
pdbbind,3g1v,3.19
pdbbind,4gzx,3.19
pdbbind,6dyn,3.19
pdbbind,6ssy,3.19
pdbbind,5cs6,3.20
pdbbind,5ijr,3.20
pdbbind,1s5z,3.21
pdbbind,1br6,3.22
pdbbind,1e6s,3.22
pdbbind,1ew9,3.22
pdbbind,1k1y,3.22
pdbbind,1zc9,3.22
pdbbind,2ri9,3.22
pdbbind,2uy3,3.22
pdbbind,4n5d,3.22
pdbbind,1px4,3.23
pdbbind,3zsy,3.23
pdbbind,4lm1,3.23
pdbbind,4unp,3.23
pdbbind,5qay,3.23
pdbbind,3qfz,3.24
pdbbind,4b2l,3.24
pdbbind,4qlk,3.24
pdbbind,1v2j,3.25
pdbbind,3ta1,3.25
pdbbind,4lm0,3.25
pdbbind,5yas,3.26
pdbbind,3ioe,3.27
pdbbind,1bcu,3.28
pdbbind,3d52,3.28
pdbbind,3tfu,3.28
pdbbind,3zsx,3.28
pdbbind,4fl1,3.28
pdbbind,5duw,3.29
pdbbind,6ibk,3.29
pdbbind,1d7j,3.30
pdbbind,1phw,3.30
pdbbind,1tpw,3.30
pdbbind,2vw2,3.30
pdbbind,3aaq,3.30
pdbbind,3hcm,3.30
pdbbind,4ddh,3.30
pdbbind,4jss,3.30
pdbbind,4mrw,3.30
pdbbind,4msa,3.30
pdbbind,4np3,3.30
pdbbind,5g45,3.30
pdbbind,1i2s,3.31
pdbbind,1pzp,3.31
pdbbind,5fe7,3.31
pdbbind,2wk6,3.32
pdbbind,4cjp,3.32
pdbbind,4i7j,3.32
pdbbind,6efj,3.32
pdbbind,6pg3,3.32
pdbbind,6phx,3.32
pdbbind,188l,3.33
pdbbind,1jlr,3.33
pdbbind,4ab9,3.33
pdbbind,4b0b,3.33
pdbbind,4b5t,3.33
pdbbind,4b5w,3.33
pdbbind,3f33,3.34
pdbbind,4b32,3.34
pdbbind,4bt4,3.34
pdbbind,4cp5,3.34
pdbbind,3c2o,3.35
pdbbind,3pwk,3.35
pdbbind,4lkq,3.35
pdbbind,4cj4,3.36
pdbbind,187l,3.37
pdbbind,1tnh,3.37
pdbbind,1v2u,3.37
pdbbind,3d8z,3.37
pdbbind,3n35,3.37
pdbbind,4b33,3.37
pdbbind,6mnv,3.37
pdbbind,2fzg,3.38
pdbbind,3tay,3.38
pdbbind,3w07,3.38
pdbbind,4qll,3.38
pdbbind,4ipn,3.39
pdbbind,4lhm,3.39
pdbbind,5lsh,3.39
pdbbind,5os5,3.39
pdbbind,1bxr,3.40
pdbbind,1f8d,3.40
pdbbind,1ikt,3.40
pdbbind,1l83,3.40
pdbbind,1m83,3.40
pdbbind,1uz4,3.40
pdbbind,3jzh,3.40
pdbbind,4abe,3.40
pdbbind,2v2c,3.41
pdbbind,2qtn,3.42
pdbbind,2sim,3.42
pdbbind,2w08,3.42
pdbbind,3iob,3.42
pdbbind,4llj,3.42
pdbbind,4n8q,3.42
pdbbind,2xog,3.43
pdbbind,3axz,3.43
pdbbind,5osl,3.43
pdbbind,4umc,3.44
pdbbind,6exs,3.44
pdbbind,3nik,3.45
pdbbind,1moq,3.46
pdbbind,3muz,3.46
pdbbind,4k5p,3.46
pdbbind,4tz2,3.46
pdbbind,5qal,3.46
pdbbind,6hgr,3.46
pdbbind,6q4e,3.46
pdbbind,3ta0,3.47
pdbbind,4epy,3.47
pdbbind,4h42,3.47
pdbbind,5ma7,3.47
pdbbind,6pvz,3.47
pdbbind,2p3i,3.48
pdbbind,3g1d,3.48
pdbbind,3gx0,3.48
pdbbind,3nyd,3.48
pdbbind,4k7n,3.48
pdbbind,5eh7,3.48
pdbbind,5xg5,3.48
pdbbind,1c5o,3.49
pdbbind,1utn,3.49
pdbbind,4avs,3.49
pdbbind,4b5s,3.49
pdbbind,5fnd,3.49
pdbbind,6d9x,3.49
pdbbind,6poi,3.49
pdbbind,4i7p,3.50
pdbbind,2r0h,3.51
pdbbind,5cp9,3.51
pdbbind,5h1u,3.51
pdbbind,5mby,3.51
pdbbind,1jys,3.52
pdbbind,2j27,3.52
pdbbind,2vw1,3.52
pdbbind,3mfw,3.52
pdbbind,4mrz,3.52
pdbbind,5mod,3.52
pdbbind,6g25,3.52
pdbbind,185l,3.54
pdbbind,1v2r,3.55
pdbbind,2cle,3.55
pdbbind,2qwc,3.55
pdbbind,4aji,3.55
pdbbind,5btx,3.55
pdbbind,5fpk,3.55
pdbbind,1h46,3.57
pdbbind,1np0,3.57
pdbbind,3ff3,3.57
pdbbind,4abg,3.57
pdbbind,4ck3,3.57
pdbbind,4ibb,3.57
pdbbind,4q8x,3.57
pdbbind,5a7b,3.57
pdbbind,3dx1,3.58
pdbbind,6gjm,3.58
pdbbind,1nli,3.59
pdbbind,2gsu,3.59
pdbbind,4cjq,3.59
pdbbind,4q7v,3.59
pdbbind,5mxf,3.59
pdbbind,6dpz,3.59
pdbbind,6p8a,3.59
pdbbind,6pg4,3.59
pdbbind,1d7i,3.60
pdbbind,2fzk,3.60
pdbbind,2qpu,3.60
pdbbind,2xdk,3.60
pdbbind,3b3x,3.60
pdbbind,3g0i,3.60
pdbbind,3jdw,3.60
pdbbind,4b3b,3.60
pdbbind,4c1y,3.60
pdbbind,5dqf,3.60
pdbbind,5lvr,3.60
pdbbind,3jzj,3.61
pdbbind,3sk2,3.61
pdbbind,5lud,3.61
pdbbind,5oqu,3.61
pdbbind,1pb9,3.62
pdbbind,4bkt,3.62
pdbbind,4rrf,3.62
pdbbind,6mll,3.62
pdbbind,6pge,3.62
pdbbind,5dqe,3.63
pdbbind,5ork,3.63
pdbbind,1gyy,3.64
pdbbind,2azr,3.64
pdbbind,2rk8,3.64
pdbbind,4iuo,3.64
pdbbind,4agl,3.65
pdbbind,5yum,3.65
pdbbind,2v00,3.66
pdbbind,3buh,3.66
pdbbind,3oy8,3.66
pdbbind,3pcn,3.66
pdbbind,3t2q,3.66
pdbbind,4aia,3.66
pdbbind,4fl2,3.66
pdbbind,5m17,3.66
pdbbind,5nzn,3.66
pdbbind,6cq1,3.66
pdbbind,6dyr,3.66
pdbbind,4cig,3.67
pdbbind,4ibd,3.67
pdbbind,5fog,3.67
pdbbind,5fol,3.67
pdbbind,1c3x,3.68
pdbbind,2x6x,3.68
pdbbind,3ioc,3.68
pdbbind,3isj,3.68
pdbbind,4aje,3.68
pdbbind,4io7,3.68
pdbbind,4isu,3.68
pdbbind,6cfc,3.68
pdbbind,2a8g,3.69
pdbbind,4ovg,3.69
pdbbind,4tte,3.69
pdbbind,5dkn,3.69
pdbbind,5os7,3.69
pdbbind,6gg4,3.69
pdbbind,1loq,3.70
pdbbind,1pdz,3.70
pdbbind,1wht,3.70
pdbbind,2bvr,3.70
pdbbind,2fx6,3.70
pdbbind,3l59,3.70
pdbbind,3n7a,3.70
pdbbind,5j41,3.70
pdbbind,6gjj,3.70
pdbbind,6mlp,3.70
pdbbind,6pg6,3.70
pdbbind,2vfk,3.71
pdbbind,3fj7,3.71
pdbbind,3g32,3.71
pdbbind,1ai5,3.72
pdbbind,1grp,3.72
pdbbind,2am4,3.72
pdbbind,2r23,3.72
pdbbind,3f5l,3.72
pdbbind,3q6z,3.72
pdbbind,4tln,3.72
pdbbind,4ufm,3.72
pdbbind,6d1h,3.72
pdbbind,3fjg,3.73
pdbbind,4fz3,3.73
pdbbind,6iou,3.73
pdbbind,1f5k,3.74
pdbbind,2wq5,3.74
pdbbind,4yk0,3.74
pdbbind,6gjr,3.74
pdbbind,3d6p,3.75
pdbbind,2x09,3.76
pdbbind,4tu4,3.76
pdbbind,4w52,3.76
pdbbind,1kui,3.77
pdbbind,2v2h,3.77
pdbbind,3ao2,3.77
pdbbind,4q46,3.77
pdbbind,5qa8,3.77
pdbbind,6euc,3.77
pdbbind,6fuh,3.77
pdbbind,6hgs,3.77
pdbbind,3nq3,3.78
pdbbind,2clk,3.79
pdbbind,1kug,3.80
pdbbind,1li6,3.80
pdbbind,1nje,3.80
pdbbind,2hb1,3.80
pdbbind,3t09,3.80
pdbbind,4ajl,3.80
pdbbind,5h1t,3.80
pdbbind,5uf0,3.80
pdbbind,6g2b,3.80
pdbbind,2hu6,3.81
pdbbind,3ai8,3.81
pdbbind,1hn4,3.82
pdbbind,4aba,3.82
pdbbind,4bks,3.82
pdbbind,4keq,3.82
pdbbind,4mmm,3.82
pdbbind,6e1z,3.82
pdbbind,1j16,3.84
pdbbind,1utj,3.84
pdbbind,3lzz,3.84
pdbbind,5mnn,3.84
pdbbind,2wzs,3.85
pdbbind,2yb0,3.85
pdbbind,3mv0,3.85
pdbbind,4kiu,3.85
pdbbind,5btv,3.85
pdbbind,6pg8,3.85
pdbbind,3spf,3.86
pdbbind,4i9u,3.86
pdbbind,5g4m,3.86
pdbbind,5ldm,3.86
pdbbind,5oh9,3.86
pdbbind,6gjl,3.86
pdbbind,1aj7,3.87
pdbbind,1v16,3.87
pdbbind,3w5n,3.87
pdbbind,3wjw,3.87
pdbbind,4nbk,3.87
pdbbind,5oh3,3.87
pdbbind,6gji,3.87
pdbbind,3si4,3.88
pdbbind,4mjp,3.88
pdbbind,5eqe,3.88
pdbbind,1m0q,3.89
pdbbind,2ctc,3.89
pdbbind,3iae,3.89
pdbbind,4aj4,3.89
pdbbind,4nl1,3.89
pdbbind,4ufk,3.89
pdbbind,1avn,3.90
pdbbind,2gvv,3.90
pdbbind,2qw1,3.90
pdbbind,2rkm,3.90
pdbbind,2vhj,3.90
pdbbind,2vuk,3.90
pdbbind,2wor,3.90
pdbbind,2wos,3.90
pdbbind,4n9c,3.90
pdbbind,4qgi,3.90
pdbbind,6c85,3.90
pdbbind,1kuk,3.91
pdbbind,6d1b,3.91
pdbbind,1pr5,3.92
pdbbind,3ap4,3.92
pdbbind,3twp,3.92
pdbbind,6g9x,3.92
pdbbind,6hzy,3.92
pdbbind,1h5v,3.93
pdbbind,2a5b,3.93
pdbbind,2cbz,3.93
pdbbind,6g9i,3.93
pdbbind,1v1m,3.94
pdbbind,2v3d,3.94
pdbbind,4bi6,3.95
pdbbind,5fou,3.95
pdbbind,5m5d,3.95
pdbbind,6cbg,3.95
pdbbind,6jaq,3.95
pdbbind,1mrs,3.96
pdbbind,2fpz,3.96
pdbbind,2wec,3.96
pdbbind,3c39,3.96
pdbbind,3gt9,3.96
pdbbind,4gqr,3.96
pdbbind,4agn,3.97
pdbbind,4ibg,3.97
pdbbind,1v11,3.98
pdbbind,3b3c,3.98
pdbbind,4agm,3.98
pdbbind,5os8,3.98
pdbbind,5yj8,3.98
pdbbind,6rih,3.98
pdbbind,1rpf,3.99
pdbbind,4i7l,3.99
pdbbind,1e5j,4.00
pdbbind,1lgw,4.00
pdbbind,1tni,4.00
pdbbind,1wc1,4.00
pdbbind,2buv,4.00
pdbbind,2ot1,4.00
pdbbind,2qrl,4.00
pdbbind,2rin,4.00
pdbbind,2whp,4.00
pdbbind,3a1c,4.00
pdbbind,3ijh,4.00
pdbbind,3vd9,4.00
pdbbind,4p6c,4.00
pdbbind,4umb,4.00
pdbbind,5g4n,4.00
pdbbind,5h1v,4.00
pdbbind,5mgk,4.00
pdbbind,5wcm,4.00
pdbbind,1v2w,4.01
pdbbind,3fzn,4.01
pdbbind,2wvz,4.02
pdbbind,3po1,4.02
pdbbind,5vsj,4.02
pdbbind,2q8m,4.03
pdbbind,2x96,4.03
pdbbind,3bxh,4.03
pdbbind,3nq9,4.03
pdbbind,4msn,4.03
pdbbind,5e2l,4.03
pdbbind,5nzf,4.03
pdbbind,6cze,4.03
pdbbind,6hni,4.03
pdbbind,1hi5,4.04
pdbbind,1li2,4.04
pdbbind,6i0z,4.04
pdbbind,6qlt,4.04
pdbbind,2w66,4.05
pdbbind,3n8k,4.05
pdbbind,3qx9,4.05
pdbbind,5gof,4.05
pdbbind,2clh,4.06
pdbbind,3m3c,4.06
pdbbind,5mge,4.06
pdbbind,5om2,4.06
pdbbind,8a3h,4.06
pdbbind,1hyo,4.07
pdbbind,2v2v,4.07
pdbbind,4xmr,4.07
pdbbind,5mpz,4.07
pdbbind,5ot9,4.07
pdbbind,6dai,4.07
pdbbind,6i18,4.07
pdbbind,2rke,4.08
pdbbind,2z1w,4.08
pdbbind,3kwa,4.08
pdbbind,1ai7,4.09
pdbbind,1o0n,4.09
pdbbind,2v88,4.09
pdbbind,4b9z,4.09
pdbbind,4fxp,4.09
pdbbind,5var,4.09
pdbbind,6d1i,4.09
pdbbind,1c5t,4.10
pdbbind,1odj,4.10
pdbbind,2bvs,4.10
pdbbind,3gk1,4.10
pdbbind,3iod,4.10
pdbbind,4cr9,4.10
pdbbind,5cc2,4.10
pdbbind,5kat,4.10
pdbbind,5om3,4.10
pdbbind,5t7s,4.10
pdbbind,6dpy,4.10
pdbbind,6ios,4.10
pdbbind,1p19,4.11
pdbbind,2exm,4.11
pdbbind,3d6o,4.11
pdbbind,3oyw,4.11
pdbbind,3v4t,4.11
pdbbind,4ih5,4.11
pdbbind,5dnu,4.11
pdbbind,5e6o,4.11
pdbbind,5fnc,4.11
pdbbind,3a1d,4.12
pdbbind,3ivc,4.12
pdbbind,3mam,4.12
pdbbind,4de2,4.12
pdbbind,4kxb,4.12
pdbbind,4qfn,4.12
pdbbind,4whs,4.12
pdbbind,4zow,4.12
pdbbind,6cvv,4.12
pdbbind,3ozt,4.13
pdbbind,3qto,4.13
pdbbind,4ovf,4.13
pdbbind,4yc0,4.13
pdbbind,4i7m,4.14
pdbbind,4ibi,4.14
pdbbind,5dq8,4.14
pdbbind,5lvq,4.14
pdbbind,1m2x,4.15
pdbbind,1q91,4.15
pdbbind,2v2q,4.15
pdbbind,2vt3,4.15
pdbbind,2xg9,4.15
pdbbind,3a9i,4.15
pdbbind,3d51,4.15
pdbbind,3sur,4.15
pdbbind,3sus,4.15
pdbbind,4abh,4.15
pdbbind,4cr5,4.15
pdbbind,4ibe,4.15
pdbbind,4kz4,4.15
pdbbind,5aan,4.15
pdbbind,3si3,4.16
pdbbind,4jkw,4.16
pdbbind,5fyx,4.16
pdbbind,5ito,4.16
pdbbind,1v2s,4.17
pdbbind,3qfd,4.17
pdbbind,4oma,4.17
pdbbind,5bw4,4.17
pdbbind,5ldp,4.17
pdbbind,3q2j,4.18
pdbbind,5vgy,4.18
pdbbind,6dy7,4.18
pdbbind,1hi3,4.19
pdbbind,3b3w,4.19
pdbbind,3cft,4.19
pdbbind,3sv2,4.19
pdbbind,4n9a,4.19
pdbbind,4nra,4.19
pdbbind,4q83,4.19
pdbbind,1c5y,4.20
pdbbind,1c87,4.20
pdbbind,1ghw,4.20
pdbbind,3djp,4.20
pdbbind,3qx5,4.20
pdbbind,5fcz,4.20
pdbbind,5ot8,4.20
pdbbind,1odi,4.21
pdbbind,1qk4,4.21
pdbbind,4bqs,4.21
pdbbind,4u6w,4.21
pdbbind,5n99,4.21
pdbbind,5ti0,4.21
pdbbind,5wbo,4.21
pdbbind,1kv5,4.22
pdbbind,1pzi,4.22
pdbbind,1t5f,4.22
pdbbind,1ua4,4.22
pdbbind,3f80,4.22
pdbbind,3kyq,4.22
pdbbind,4gny,4.22
pdbbind,4mo4,4.22
pdbbind,4oak,4.22
pdbbind,5kh3,4.22
pdbbind,2jke,4.23
pdbbind,2jkp,4.23
pdbbind,3zqe,4.23
pdbbind,4qfp,4.23
pdbbind,5fnr,4.23
pdbbind,2bes,4.24
pdbbind,3h78,4.24
pdbbind,5csp,4.24
pdbbind,5e13,4.24
pdbbind,5f8y,4.24
pdbbind,5oh2,4.24
pdbbind,5u0w,4.24
pdbbind,5uff,4.24
pdbbind,5ut6,4.24
pdbbind,1li3,4.25
pdbbind,5b2d,4.25
pdbbind,5ei3,4.25
pdbbind,5km9,4.25
pdbbind,6d1j,4.25
pdbbind,6dys,4.25
pdbbind,6mdu,4.25
pdbbind,2qrk,4.26
pdbbind,3qwc,4.26
pdbbind,4r0a,4.26
pdbbind,4u69,4.26
pdbbind,5f9b,4.26
pdbbind,6gnm,4.26
pdbbind,1m5w,4.27
pdbbind,4qfo,4.27
pdbbind,5mgf,4.27
pdbbind,6hh5,4.27
pdbbind,2vzr,4.28
pdbbind,3f5j,4.28
pdbbind,3gta,4.28
pdbbind,3jrs,4.28
pdbbind,4ufj,4.28
pdbbind,5f2r,4.28
pdbbind,5l4j,4.28
pdbbind,1e2l,4.29
pdbbind,1v2l,4.29
pdbbind,2wuf,4.29
pdbbind,4i3z,4.29
pdbbind,5mgj,4.29
pdbbind,1a30,4.30
pdbbind,1amk,4.30
pdbbind,1det,4.30
pdbbind,1w3k,4.30
pdbbind,2cli,4.30
pdbbind,3ivg,4.30
pdbbind,3t0b,4.30
pdbbind,3upk,4.30
pdbbind,4eoh,4.30
pdbbind,4ibk,4.30
pdbbind,4k7o,4.30
pdbbind,4o61,4.30
pdbbind,4zme,4.30
pdbbind,5ewy,4.30
pdbbind,5jgi,4.30
pdbbind,6fuj,4.30
pdbbind,6q4g,4.30
pdbbind,1ajq,4.31
pdbbind,2tpi,4.31
pdbbind,4kow,4.31
pdbbind,6ajr,4.31
pdbbind,6f20,4.31
pdbbind,6ior,4.31
pdbbind,2ha6,4.32
pdbbind,2qtt,4.32
pdbbind,4q7p,4.32
pdbbind,4rsk,4.32
pdbbind,4u43,4.32
pdbbind,4ucc,4.32
pdbbind,5m28,4.32
pdbbind,6jad,4.32
pdbbind,1olx,4.33
pdbbind,4ibj,4.33
pdbbind,4zcs,4.33
pdbbind,6czb,4.33
pdbbind,6exj,4.33
pdbbind,6g29,4.33
pdbbind,1e3v,4.34
pdbbind,1z6s,4.34
pdbbind,5n3v,4.34
pdbbind,6ajz,4.34
pdbbind,1ghv,4.35
pdbbind,1sv3,4.35
pdbbind,1yfz,4.35
pdbbind,4owv,4.35
pdbbind,5ka7,4.35
pdbbind,6d1a,4.35
pdbbind,6r1a,4.35
pdbbind,1dy4,4.36
pdbbind,2ez7,4.36
pdbbind,4nbn,4.36
pdbbind,1td7,4.37
pdbbind,4gu9,4.37
pdbbind,5oh7,4.37
pdbbind,6qi4,4.37
pdbbind,1bhf,4.38
pdbbind,3b24,4.38
pdbbind,3u9q,4.38
pdbbind,6hgj,4.38
pdbbind,6mla,4.38
pdbbind,6o5u,4.38
pdbbind,2avq,4.39
pdbbind,2hjb,4.39
pdbbind,3djo,4.39
pdbbind,4zt8,4.39
pdbbind,5orh,4.39
pdbbind,5zni,4.39
