pdbid,-logKd/Ki
4tmn,Ki=0.068nM
5tmn,Ki=9.1nM
1ydr,Ki=3.0uM
1ydt,Ki=48nM
1bcu,Kd=0.53mM
1a30,Ki=50uM
1bzc,Ki=12uM
1qf1,Ki=48nM
1qkt,Kd=0.92nM
1c5z,Ki=97uM
1k1i,Kd=264nM
1e66,Ki=0.13nM
1g2k,Ki=11nM
1eby,Ki=0.20nM
1gpn,Ki=0.334uM
1h22,Ki=0.8nM
1gpk,Ki=4.3uM
1h23,Ki=4.5nM
1p1n,Kd=0.16uM
1q8u,Kd=1.1uM
1p1q,Kd=12.8uM
1q8t,Kd=17.5uM
1o3f,Ki=0.011uM
1oyt,Ki=0.057uM
1nc1,Ki=0.75uM
1o0h,Ki=1.2uM
1nc3,Ki=10uM
1owh,Ki=40nM
1ps3,Ki=5.2mM
1nvq,Ki=5.6nM
1mq6,Ki=7pM
1lpg,Ki=82nM
1uto,Kd=5.32mM
1pxn,Ki=0.07uM
1r5y,Ki=0.35uM
1sqa,Ki=0.62nM
1o5b,Ki=1.7uM
1s38,Ki=7.0uM
1u1b,Kd=16nM
2c3i,Kd=25nM
1yc1,Kd=680nM
2brb,Ki=13.7uM
1z9g,Ki=2.3uM
1syi,Ki=3590nM
2al5,Ki=4nM
1w4o,Ki=6uM
2br1,Ki=7.2uM
1z95,Ki=76nM
1y6r,Ki=77pM
2iwx,Kd=0.21uM
2cbv,Kd=3.3uM
2j78,Kd=384nM
2j7h,Kd=65nM
2cet,Kd=9.6nM
1z6e,Ki=0.19nM
2hb1,Ki=160uM
2fvd,Ki=3nM
2v7a,Kd=0.005uM
2v00,Kd=0.22mM
2fxs,Kd=0.87uM
2p15,Kd=50pM
2pog,Ki=0.29nM
3bgz,Ki=0.55uM
2qe4,Ki=11.0nM
1vso,Ki=18.98uM
3cj4,Kd=0.31uM
2zb1,Kd=0.48uM
3coy,Kd=0.96uM
3coz,Kd=2.7uM
3f3e,Kd=20nM
2vw5,Kd=3nM
2vvn,Kd=50nM
3f3d,Kd=69nM
2qbp,Ki=0.004uM
2qbq,Ki=0.036uM
2qbr,Ki=0.47uM
3b65,Ki=0.54nM
2qnq,Ki=0.77uM
3e93,Ki=1.4nM
2zcq,Ki=1.5nM
3b5r,Ki=1.7nM
2vkm,Ki=1.8nM
3e92,Ki=10nM
2zcr,Ki=135nM
3d4z,Ki=13uM
2p4y,Ki=1nM
3bv9,Ki=4.4uM
2zda,Ki=4nM
3b68,Ki=4nM
3e5a,Ki=5.9nM
3f3a,Ki=64.8uM
2r9w,Ki=8uM
3f3c,Ki=950nM
3jvs,Kd=0.29uM
3gnw,Kd=0.79nM
2w4x,Kd=14uM
2wn9,Kd=3.0nM
2weg,Kd=314nM
2wnc,Kd=479nM
3ivg,Kd=50uM
3kr8,Kd=8nM
2wer,Kd=90nM
2zy1,Ki=0.04uM
3jya,Ki=0.1301uM
3g0w,Ki=0.3nM
3ebp,Ki=1.24uM
3g31,Ki=1.3mM
3ehy,Ki=1.4uM
3fcq,Ki=1.7mM
3jvr,Ki=1.89uM
3fur,Ki=10nM
3gbb,Ki=126nM
3dx2,Ki=150nM
3d6q,Ki=172uM
3dd0,Ki=1nM
2wca,Ki=2.5uM
3kgp,Ki=2.68mM
3ejr,Ki=2.7nM
3dx1,Ki=265uM
3ge7,Ki=2nM
2wbg,Ki=35.2uM
3gr2,Ki=3mM
3dxg,Ki=4.0mM
3g2z,Ki=4.4mM
3gc5,Ki=55nM
3gv9,Ki=7.5mM
2w66,Ki=89uM
3myg,Kd=0.02nM
3k5v,Kd=0.5uM
3lka,Kd=1.5mM
3mss,Kd=22uM
2xbv,Kd=3.7nM
2x00,Kd=4.7pM
3p5o,Kd=55.2nM
2xii,Kd=63.3nM
3nx7,Kd=7.88nM
2wvt,Kd=755nM
2xdl,Kd=790uM
3gy4,Kd=8uM
3nq9,Kd=92.6uM
3fv1,Ki=0.5nM
2wtv,Ki=1.8nM
2xnb,Ki=149nM
3acw,Ki=17.5uM
2xj7,Ki=220nM
2xb8,Ki=26nM
3l7b,Ki=4.01mM
3fv2,Ki=7.7nM
3g2n,Ki=81uM
3kwa,Ki=84uM
3ag9,Ki=9nM
3arp,Kd=0.07uM
3uex,Kd=0.12uM
2yki,Kd=0.35nM
3uew,Kd=0.49uM
3arq,Kd=0.4uM
3ary,Kd=1.0uM
3uev,Kd=1.29uM
3pyy,Kd=137nM
3ryj,Kd=16nM
3arv,Kd=2.3uM
3u5j,Kd=2.46uM
3pxf,Kd=37uM
3rsx,Kd=38.8uM
3ueu,Kd=5.81uM
3b27,Kd=6.9uM
3aru,Kd=600uM
3ao4,Kd=8.5mM
2yge,Kd=8.62uM
3u8n,Ki=0.067nM
3n76,Ki=0.14uM
3o9i,Ki=1.5pM
3oe5,Ki=132nM
3prs,Ki=15nM
2y5h,Ki=1620nM
3qgy,Ki=16nM
3nw9,Ki=1nM
3ui7,Ki=1nM
3u8k,Ki=2.2nM
3n86,Ki=2.3uM
3n7a,Ki=200uM
3b1m,Ki=3.3nM
3rlr,Ki=30nM
3oe4,Ki=34nM
2xys,Ki=38nM
3u9q,Ki=41.7uM
3ozs,Ki=4645nM
3pww,Ki=48nM
3ozt,Ki=74.9uM
3udh,Kd=1.4mM
4agn,Kd=107uM
3zt2,Kd=1435uM
4agp,Kd=20.6uM
4abg,Kd=271uM
3uo4,Kd=299nM
3up2,Kd=40nM
3zsx,Kd=519uM
3tsk,Kd=67nM
2ymd,Kd=693uM
3zso,Kd=7.6uM
4eo8,Kd=7nM
4agq,Kd=9.7uM
3utu,Ki=0.012nM
4gid,Ki=0.017nM
4djv,Ki=0.19uM
2yfe,Ki=0.236uM
4ea2,Ki=0.36uM
4de1,Ki=1.1uM
3qqs,Ki=1.5uM
4dld,Ki=1.5uM
4hge,Ki=11.9nM
3twp,Ki=119uM
3uuo,Ki=11nM
3r88,Ki=15uM
3uri,Ki=1nM
4f09,Ki=200nM
4e5w,Ki=22nM
3rr4,Ki=28.05uM
4de3,Ki=3.0uM
4eky,Ki=303.0uM
4e6q,Ki=4.4nM
3syr,Ki=7.9uM
4de2,Ki=76.0uM
4ddh,Kd=0.5mM
4j3l,Kd=16nM
4dli,Kd=2.40uM
4bkt,Kd=240uM
4mme,Kd=318nM
4j21,Kd=39nM
4ddk,Kd=5.1mM
4ih7,Kd=5.8uM
4kzq,Kd=788nM
4ih5,Kd=78uM
4gfm,Ki=0.06uM
4ivc,Ki=0.1nM
4gr0,Ki=0.28nM
4ivd,Ki=0.3nM
4jia,Ki=0.6nM
4k18,Ki=1.1nM
4f3c,Ki=1.5pM
4ivb,Ki=1.9nM
4f9w,Ki=114nM
4j28,Ki=2.0uM
4k77,Ki=235nM
4kzu,Ki=313nM
4f2w,Ki=5.0pM
4jfs,Ki=5.4uM
4jsz,Ki=5000uM
4eor,Ki=500nM
4gkm,Ki=6.8uM
3zdg,Ki=79nM
4w9h,Kd=0.185uM
4m0y,Kd=0.35uM
4qac,Kd=0.4nM
4w9i,Kd=1.10uM
4u4s,Kd=1200uM
4ogj,Kd=164nM
4lzs,Kd=16uM
4mgd,Kd=20.19uM
4cig,Kd=214uM
4w9c,Kd=22.2uM
4wiv,Kd=550nM
4m0z,Kd=6.4uM
4w9l,Kd=9.52uM
4ty7,Ki=0.3nM
4kz6,Ki=0.8mM
4owm,Ki=1090uM
4llx,Ki=1300uM
4pcs,Ki=14nM
4ciw,Ki=15.0uM
4jxs,Ki=18uM
3wtj,Kd=0.297uM
5aba,Kd=1040uM
5a7b,Kd=271uM
4crc,Ki=0.0019uM
4cra,Ki=0.06uM
3wz8,Ki=1.5uM
4twp,Ki=100pM
5c28,Ki=2.2uM
4qd6,Ki=2.3nM
4x6p,Ki=5nM
5dwr,Ki=6pM
5c2h,Ki=8.2pM
4cr9,Ki=80uM
4rfm,Ki=90pM
