protein,rows_fast,rows_ingenni,rows_demo,rows_diff
1a30,433.0,433.0,603.0,True
1bcu,326.0,326.0,423.0,True
1bzc,396.0,396.0,506.0,True
1c5z,302.0,302.0,427.0,True
1e66,556.0,556.0,710.0,True
1eby,583.0,583.0,,False
1g2k,,535.0,,False
1gpk,459.0,459.0,700.0,True
1gpn,482.0,482.0,691.0,True
1h22,663.0,663.0,864.0,True
1h23,667.0,667.0,873.0,True
1k1i,418.0,418.0,570.0,True
1lpg,508.0,508.0,623.0,True
1mq6,503.0,503.0,,False
1nc1,475.0,475.0,,False
1nc3,443.0,443.0,,False
1nvq,503.0,503.0,580.0,True
1o0h,387.0,387.0,443.0,True
1o3f,430.0,430.0,538.0,True
1o5b,345.0,345.0,454.0,True
1owh,427.0,427.0,567.0,True
1oyt,520.0,520.0,649.0,True
1p1n,418.0,418.0,631.0,True
1p1q,429.0,429.0,632.0,True
1ps3,399.0,399.0,,False
1pxn,451.0,451.0,,False
1q8t,486.0,486.0,639.0,True
1q8u,483.0,483.0,628.0,True
1qf1,430.0,430.0,636.0,True
1qkt,446.0,446.0,,False
1r5y,331.0,331.0,,False
1s38,340.0,340.0,,False
1sqa,464.0,464.0,635.0,True
1syi,490.0,490.0,662.0,True
1u1b,459.0,459.0,566.0,True
1uto,306.0,306.0,417.0,True
1vso,445.0,445.0,638.0,True
1w4o,309.0,309.0,460.0,True
1y6r,464.0,464.0,638.0,True
1yc1,514.0,514.0,687.0,True
1ydr,481.0,481.0,606.0,True
1ydt,558.0,558.0,716.0,True
1z6e,527.0,527.0,631.0,True
1z95,614.0,614.0,,False
1z9g,343.0,343.0,523.0,True
2al5,436.0,436.0,643.0,True
2br1,433.0,433.0,,False
2brb,393.0,393.0,,False
2c3i,417.0,417.0,,False
2cbv,375.0,375.0,597.0,True
2cet,501.0,501.0,,False
2fvd,506.0,506.0,,False
2fxs,433.0,433.0,625.0,True
2hb1,337.0,337.0,483.0,True
2iwx,411.0,411.0,610.0,True
2j78,429.0,429.0,,False
2j7h,363.0,363.0,,False
2p15,592.0,592.0,,False
2p4y,606.0,606.0,830.0,True
2pog,476.0,476.0,,False
2qbp,480.0,480.0,675.0,True
2qbq,442.0,442.0,599.0,True
2qbr,409.0,409.0,604.0,True
2qe4,470.0,470.0,,False
2qnq,543.0,543.0,644.0,True
2r9w,386.0,386.0,564.0,True
2v00,360.0,360.0,,False
2v7a,475.0,475.0,,False
2vkm,683.0,683.0,931.0,True
2vvn,458.0,458.0,,False
2vw5,475.0,475.0,,False
2w4x,385.0,385.0,,False
2w66,425.0,425.0,591.0,True
2wbg,542.0,542.0,786.0,True
2wca,440.0,440.0,,False
2weg,409.0,409.0,,False
2wer,399.0,399.0,620.0,True
2wn9,439.0,439.0,591.0,True
2wnc,437.0,437.0,574.0,True
2wtv,501.0,501.0,573.0,True
2wvt,392.0,392.0,563.0,True
2x00,526.0,526.0,738.0,True
2xb8,522.0,522.0,667.0,True
2xbv,544.0,544.0,,False
2xdl,425.0,425.0,,False
2xii,485.0,485.0,668.0,True
2xj7,433.0,433.0,602.0,True
2xnb,484.0,484.0,607.0,True
2xys,447.0,447.0,596.0,True
2y5h,492.0,492.0,582.0,True
2yfe,485.0,485.0,693.0,True
2yge,506.0,506.0,,False
2yki,607.0,607.0,,False
2ymd,369.0,369.0,539.0,True
2zb1,498.0,498.0,,False
2zcq,494.0,494.0,801.0,True
2zcr,632.0,632.0,825.0,True
2zda,506.0,506.0,648.0,True
2zy1,532.0,532.0,795.0,True
3acw,471.0,471.0,689.0,True
3ag9,717.0,717.0,,False
3ao4,371.0,371.0,,False
3arp,569.0,569.0,737.0,True
3arq,416.0,416.0,584.0,True
3aru,358.0,358.0,,False
3arv,353.0,353.0,471.0,True
3ary,353.0,353.0,458.0,True
3b1m,539.0,539.0,722.0,True
3b27,393.0,393.0,,False
3b5r,627.0,627.0,,False
3b65,595.0,595.0,,False
3b68,626.0,626.0,869.0,True
3bgz,421.0,421.0,536.0,True
3bv9,540.0,540.0,658.0,True
3cj4,408.0,408.0,512.0,True
3coy,550.0,550.0,736.0,True
3coz,536.0,536.0,739.0,True
3cyx,565.0,,,False
3d4z,381.0,381.0,557.0,True
3d6q,318.0,318.0,367.0,True
3dd0,429.0,429.0,,False
3dx1,338.0,338.0,522.0,True
3dx2,387.0,387.0,549.0,True
3dxg,318.0,318.0,375.0,True
3e5a,474.0,474.0,580.0,True
3e92,499.0,499.0,,False
3e93,600.0,600.0,783.0,True
3ebp,310.0,310.0,456.0,True
3ehy,373.0,373.0,483.0,True
3ejr,458.0,458.0,627.0,True
3f3a,427.0,427.0,643.0,True
3f3c,406.0,406.0,677.0,True
3f3d,369.0,369.0,629.0,True
3f3e,361.0,361.0,578.0,True
3fcq,336.0,336.0,530.0,True
3fur,507.0,507.0,,False
3fv1,514.0,514.0,747.0,True
3fv2,496.0,496.0,734.0,True
3g0w,537.0,537.0,,False
3g2n,538.0,538.0,,False
3g2z,309.0,309.0,,False
3g31,189.0,189.0,255.0,True
3gbb,503.0,503.0,681.0,True
3gc5,425.0,425.0,622.0,True
3ge7,470.0,470.0,729.0,True
3gnw,660.0,660.0,,False
3gr2,259.0,259.0,447.0,True
3gv9,285.0,285.0,493.0,True
3gy4,321.0,321.0,444.0,True
3ivg,502.0,502.0,731.0,True
3jvr,278.0,278.0,,False
3jvs,312.0,312.0,386.0,True
3jya,358.0,358.0,,False
3k5v,419.0,419.0,,False
3kgp,337.0,337.0,458.0,True
3kr8,451.0,451.0,,False
3kwa,382.0,382.0,591.0,True
3l7b,516.0,516.0,,False
3lka,341.0,341.0,,False
3mss,343.0,343.0,411.0,True
3myg,405.0,405.0,562.0,True
3n76,545.0,545.0,683.0,True
3n7a,381.0,381.0,570.0,True
3n86,539.0,539.0,685.0,True
3nq9,321.0,321.0,464.0,True
3nw9,542.0,542.0,,False
3nx7,410.0,410.0,,False
3o9i,551.0,551.0,,False
3oe4,487.0,487.0,637.0,True
3oe5,487.0,487.0,648.0,True
3ozs,511.0,511.0,678.0,True
3ozt,483.0,483.0,635.0,True
3p5o,396.0,396.0,,False
3prs,557.0,557.0,,False
3pww,581.0,581.0,759.0,True
3pxf,288.0,288.0,636.0,True
3pyy,383.0,383.0,,False
3qgy,386.0,386.0,,False
3qqs,337.0,337.0,485.0,True
3r88,276.0,276.0,392.0,True
3rlr,503.0,503.0,,False
3rr4,414.0,414.0,601.0,True
3rsx,378.0,378.0,,False
3ryj,471.0,471.0,,False
3syr,553.0,553.0,,False
3tsk,475.0,475.0,560.0,True
3twp,242.0,242.0,328.0,True
3u5j,349.0,349.0,,False
3u8k,413.0,413.0,539.0,True
3u8n,444.0,444.0,600.0,True
3u9q,438.0,438.0,625.0,True
3udh,359.0,359.0,486.0,True
3ueu,436.0,436.0,674.0,True
3uev,432.0,432.0,663.0,True
3uew,456.0,456.0,710.0,True
3uex,509.0,509.0,754.0,True
3ui7,419.0,419.0,,False
3uo4,416.0,416.0,566.0,True
3up2,402.0,402.0,557.0,True
3uri,619.0,619.0,933.0,True
3utu,545.0,545.0,649.0,True
3uuo,372.0,372.0,638.0,True
3wtj,395.0,395.0,,False
3wz8,431.0,431.0,,False
3zdg,407.0,407.0,567.0,True
3zso,347.0,347.0,443.0,True
3zsx,331.0,331.0,411.0,True
3zt2,323.0,323.0,419.0,True
4abg,295.0,295.0,467.0,True
4agn,303.0,303.0,359.0,True
4agp,288.0,288.0,365.0,True
4agq,302.0,302.0,365.0,True
4bkt,295.0,295.0,,False
4cig,334.0,334.0,406.0,True
4ciw,429.0,429.0,,False
4cr9,306.0,306.0,442.0,True
4cra,513.0,513.0,,False
4crc,530.0,530.0,701.0,True
4ddh,348.0,348.0,514.0,True
4ddk,339.0,339.0,444.0,True
4de1,420.0,420.0,,False
4de2,425.0,425.0,544.0,True
4de3,422.0,422.0,548.0,True
4djv,490.0,490.0,684.0,True
4dld,530.0,530.0,668.0,True
4dli,371.0,371.0,422.0,True
4e5w,496.0,496.0,570.0,True
4e6q,477.0,477.0,,False
4ea2,509.0,509.0,749.0,True
4eky,614.0,614.0,,False
4eo8,467.0,467.0,538.0,True
4eor,475.0,475.0,,False
4f09,396.0,396.0,490.0,True
4f2w,442.0,442.0,631.0,True
4f3c,465.0,465.0,638.0,True
4f9w,461.0,461.0,,False
4gfm,428.0,428.0,,False
4gid,684.0,684.0,902.0,True
4gkm,300.0,300.0,493.0,True
4gr0,533.0,533.0,624.0,True
4hge,461.0,461.0,,False
4ih5,439.0,439.0,,False
4ih7,459.0,459.0,,False
4ivb,452.0,452.0,,False
4ivc,464.0,464.0,,False
4ivd,463.0,463.0,,False
4j21,414.0,414.0,,False
4j28,348.0,348.0,570.0,True
4j3l,420.0,420.0,,False
4jfs,372.0,372.0,558.0,True
4jia,432.0,432.0,543.0,True
4jsz,209.0,209.0,,False
4jxs,363.0,363.0,582.0,True
4k18,484.0,484.0,,False
4k77,409.0,409.0,,False
4kz6,322.0,322.0,510.0,True
4kzq,414.0,414.0,,False
4kzu,405.0,405.0,,False
4llx,225.0,225.0,,False
4lzs,320.0,320.0,,False
4m0y,335.0,335.0,,False
4m0z,448.0,448.0,,False
4mgd,426.0,426.0,,False
4mme,449.0,449.0,,False
4mrw,287.0,,,False
4mrz,262.0,,,False
4msc,358.0,,,False
4msn,233.0,,,False
4ogj,349.0,349.0,,False
4owm,217.0,217.0,,False
4pcs,337.0,337.0,,False
4qac,509.0,509.0,,False
4qd6,322.0,322.0,,False
4rfm,446.0,446.0,,False
4tmn,579.0,579.0,,False
4twp,447.0,447.0,,False
4ty7,518.0,518.0,,False
4u4s,373.0,373.0,,False
4w9c,349.0,349.0,,False
4w9h,378.0,378.0,,False
4w9i,364.0,364.0,,False
4w9l,373.0,373.0,,False
4wiv,356.0,356.0,,False
4x6p,570.0,570.0,,False
5a7b,305.0,305.0,,False
5aba,256.0,256.0,,False
5c1w,308.0,,,False
5c28,308.0,308.0,,False
5c2h,523.0,523.0,,False
5dwr,464.0,464.0,,False
5tmn,525.0,525.0,,False
