name,fc0,fc1,fc2,fc3,fc4,fc5,fc6,fc7,fc8,fc9,fc10,fc11,fc12,fc13,fc14,fc15,affinity
1a30,-184.73778,-132.36238,-219.6327,193.76907,162.86163,127.77737,-11.763422,308.98886,305.5379,225.80385,0.0,0.0,0.0,4.1454043,0.0,1.2622125,4.3
1bzc,-266.44138,-193.5353,-288.92697,281.47488,103.768906,72.48902,120.38003,425.70068,203.27107,268.062,0.0,0.0,0.0,5.978406,0.0,1.9898674,4.92
1c5z,-252.91014,-140.46437,-247.76137,177.12735,372.3643,268.61203,-120.003006,483.85687,532.2391,489.22,0.0,0.0,0.0,4.236264,0.0,1.7980132,4.01
1e66,-237.15752,-193.96002,-314.5432,255.36769,-133.14166,-130.73819,371.52753,95.73204,-242.44499,189.73407,0.0,0.0,0.0,7.5407577,0.0,2.8911736,9.89
1eby,-247.3097,-184.59212,-307.8577,287.0348,-154.19452,-173.6649,384.64688,79.99611,-264.76093,198.3848,0.0,0.0,0.0,7.246529,0.0,1.9642799,9.7
1h22,-249.65028,-200.76723,-323.0367,368.33572,-182.58203,-188.41469,444.0744,39.439003,-279.6943,39.7332,0.0,0.0,0.0,8.817171,0.0,3.0579336,9.1
1h23,-249.00836,-200.80125,-325.03946,401.30682,-161.64825,-172.6052,435.17148,53.027145,-250.99689,17.283083,0.0,0.0,0.0,8.529039,0.0,2.8685904,8.35
1k1i,-211.7779,-162.59021,-251.5351,183.92873,32.86112,12.933569,55.648384,163.53935,36.966793,73.59518,0.0,0.0,0.0,6.8712397,0.0,2.1526077,6.58
1lpg,-275.43982,-200.2731,-313.0445,327.95392,-84.498955,-82.61627,314.6498,297.31595,-208.81268,158.84097,0.0,0.0,0.0,7.2885585,0.0,2.2031016,7.09
1mq6,-255.0331,-175.81049,-308.64282,195.41347,-94.866135,-108.90412,358.15973,162.36003,-195.829,355.82614,0.0,0.0,0.0,9.680357,0.0,3.3930352,11.15
1nc1,-139.14525,-102.50631,-190.79285,22.728176,138.99863,121.09991,-15.203528,175.45494,257.486,184.50354,0.0,0.0,0.0,7.2255573,0.0,2.7818463,6.12
1nc3,-169.41823,-106.54185,-201.96758,11.403608,226.80606,178.34084,-81.50806,284.644,410.42688,269.35614,0.0,0.0,0.0,5.9434466,0.0,2.24989,5.0
1nvq,-198.54689,-145.97331,-248.59294,187.10413,-27.439026,-37.14011,194.65639,184.77876,-51.83925,145.8729,0.0,0.0,0.0,7.2903194,0.0,2.336481,8.25
1o0h,-188.12285,-112.262054,-232.28462,91.33439,191.74611,145.34682,-60.28222,243.68626,255.25768,205.0407,0.0,0.0,0.0,4.44477,0.0,1.359477,5.92
1o3f,-218.78493,-152.47496,-266.76108,159.41234,-2.9260428,-31.670513,143.67952,180.37456,-47.906586,181.3623,0.0,0.0,0.0,7.165427,0.0,2.6079197,7.96
1o5b,-208.78535,-129.25081,-232.95111,99.78626,244.33876,182.16273,-54.917496,374.43304,314.22144,306.64166,0.0,0.0,0.0,5.328335,0.0,2.1582618,5.77
1oyt,-201.90144,-146.2026,-261.1213,179.82552,-36.100464,-43.22329,161.70001,136.70052,-82.04326,23.32151,0.0,0.0,0.0,6.182502,0.0,2.0245345,7.24
1ps3,-216.46815,-132.11499,-237.91843,157.78738,203.57898,141.85829,-83.83552,344.87442,377.32074,139.52023,0.0,0.0,0.0,4.185479,0.0,1.5680411,2.28
1pxn,-176.66187,-145.76567,-245.13954,147.02167,7.023342,-9.578146,114.50729,128.96188,-12.631537,44.007893,0.0,0.0,0.0,7.1563025,0.0,2.6954172,7.15
1q8u,-209.59929,-141.52348,-269.20755,293.92117,5.404419,-10.898657,104.99251,187.9612,-43.87977,74.68959,0.0,0.0,0.0,6.46467,0.0,2.3866136,5.96
1qkt,-169.74576,-114.76086,-226.65427,52.986588,9.879745,1.4436166,109.93712,120.55617,-32.35009,211.31848,0.0,0.0,0.0,7.1820474,0.0,2.7626674,9.04
1r5y,-203.88818,-115.59932,-228.03276,-51.92028,330.10632,238.18771,-123.593506,420.4112,487.17978,485.99863,0.0,0.0,0.0,5.344421,0.0,2.1650271,6.46
1s38,-223.71622,-121.88361,-243.09879,19.460577,288.09772,219.48033,-112.0927,443.30518,479.6122,400.51715,0.0,0.0,0.0,5.290346,0.0,2.1424682,5.15
1sqa,-256.92047,-185.33595,-306.94366,276.14493,-76.08606,-86.61772,277.0972,178.20769,-134.9989,249.63678,0.0,0.0,0.0,8.290047,0.0,2.922779,9.21
1syi,-201.7064,-130.71312,-258.68832,266.5059,6.0814905,-15.127876,28.640203,147.84854,-33.897915,3.1584694,0.0,0.0,0.0,6.263515,0.0,2.4529212,5.44
1u1b,-227.94522,-166.73538,-281.1334,330.6521,-33.954243,-47.714413,274.7096,182.5755,-94.89151,140.56682,0.0,0.0,0.0,6.832778,0.0,1.7054651,7.8
1vso,-234.81665,-151.6993,-269.53214,179.61884,113.43413,94.389175,85.675804,391.00662,208.074,297.45258,0.0,0.0,0.0,4.0499525,0.0,1.3623338,4.72
1w4o,-236.74367,-125.062675,-233.74503,80.429276,391.81506,264.54895,-177.2247,396.0186,522.2751,375.4089,0.0,0.0,0.0,4.257058,0.0,1.4508193,5.22
1y6r,-108.291466,-91.99337,-175.97395,-36.6336,126.32247,103.73065,33.44503,24.343521,101.892845,244.86118,0.0,0.0,0.0,7.2857103,0.0,2.8060372,10.11
1yc1,-190.94632,-132.54698,-246.29001,197.7776,0.40958238,-20.531677,41.2612,118.04605,-41.365093,-52.805424,0.0,0.0,0.0,6.843902,0.0,2.40982,6.17
1ydr,-198.07791,-134.305,-253.59238,284.87274,34.10567,16.011223,64.65755,213.30022,5.410572,99.33865,0.0,0.0,0.0,5.9575243,0.0,2.2228277,5.52
1ydt,-206.39328,-147.50613,-286.92596,327.22406,-83.12892,-103.795555,225.40047,32.93701,-197.2542,-19.622978,0.0,0.0,0.0,6.746473,0.0,2.3704863,7.32
1z6e,-237.17741,-163.24133,-289.8321,166.14885,-80.88732,-101.785995,290.88235,93.25749,-147.09053,194.8327,0.0,0.0,0.0,9.185886,0.0,3.1221857,9.72
1z9g,-219.24825,-133.80557,-236.93826,8.692709,279.28842,222.73332,-61.977024,414.15558,447.242,430.44928,0.0,0.0,0.0,4.0924916,0.0,1.4990304,5.64
2al5,-188.79993,-137.48825,-240.72307,149.60246,47.342567,40.11378,136.20082,256.41714,56.406246,191.60846,0.0,0.0,0.0,5.640771,0.0,2.239001,8.4
2br1,-202.94122,-141.0953,-226.16844,3.2544525,183.74641,143.53885,-46.119995,321.4845,354.26303,162.57332,0.0,0.0,0.0,5.2542424,0.0,1.6506302,5.14
2brb,-223.32549,-155.37193,-239.08664,28.180632,188.19351,143.59778,-51.772064,339.3825,357.1574,163.3078,0.0,0.0,0.0,5.5600653,0.0,1.9070911,4.86
2c3i,-182.36621,-142.35957,-240.41838,108.87551,48.45186,38.828014,109.83857,185.44159,47.7399,116.29593,0.0,0.0,0.0,6.8740454,0.0,2.5401354,7.6
2cbv,-200.36688,-118.78472,-216.26163,-29.844093,270.48938,213.83707,-120.6971,383.4723,484.1776,340.49286,0.0,0.0,0.0,5.0335126,0.0,2.0551658,5.48
2fvd,-246.46715,-169.4855,-306.1977,208.77287,-104.607185,-127.66783,290.82632,61.460545,-198.40762,-42.38559,0.0,0.0,0.0,7.4849696,0.0,2.6005132,8.52
2fxs,-212.39503,-147.7026,-258.83255,252.01021,43.94466,12.734383,30.63881,136.03561,5.6191254,28.894966,0.0,0.0,0.0,5.2785215,0.0,1.6911235,6.06
2hb1,-237.15617,-132.21765,-244.18785,92.13851,353.74268,247.9788,-113.93353,463.46127,583.84503,425.09445,0.0,0.0,0.0,4.209391,0.0,1.6392746,3.8
2p4y,-299.6142,-206.24342,-374.3099,298.60452,-255.30893,-280.0883,424.4805,-36.947063,-503.80844,-67.519394,0.0,0.0,0.0,8.833263,0.0,2.9186895,9.0
2qbp,-238.16295,-166.12863,-302.50308,247.85204,-81.24156,-98.0848,308.8512,73.91711,-220.66193,2.5946429,0.0,0.0,0.0,8.163063,0.0,2.6902702,8.4
2qbq,-192.0848,-135.95573,-239.70216,141.44768,61.023457,44.867496,111.3425,226.03738,49.88849,176.46411,0.0,0.0,0.0,5.7915816,0.0,1.8196356,7.44
2qe4,-213.37746,-170.94768,-279.04773,212.27196,-71.274445,-79.33908,215.23622,135.7284,-151.28429,29.685328,0.0,0.0,0.0,7.732652,0.0,2.8892586,7.96
2qnq,-259.65048,-173.29816,-301.57895,326.4463,-113.88233,-144.2883,172.85153,81.66816,-231.40901,-27.502762,0.0,0.0,0.0,6.1253114,0.0,1.6759787,6.11
2r9w,-229.56526,-132.03056,-245.87189,40.31287,208.11627,153.78036,-47.435127,412.90353,378.58643,380.37808,0.0,0.0,0.0,4.5314994,0.0,1.3304056,5.1
2v00,-275.4006,-130.51314,-261.45187,238.32532,408.50214,258.83038,-149.91298,431.6816,597.11633,453.88016,0.0,0.0,0.0,4.6753592,0.0,1.7796867,3.66
2v7a,-243.37637,-179.37234,-276.4385,288.66354,-46.856834,-53.5051,293.85223,223.20921,-83.315346,202.6425,0.0,0.0,0.0,6.974429,0.0,2.223833,8.3
2vkm,-302.19827,-209.89534,-399.05777,428.9248,-232.98553,-232.5101,519.14526,-5.509416,-452.1605,-49.391655,0.0,0.0,0.0,8.892086,0.0,2.7193923,8.74
2vvn,-166.66393,-124.353325,-234.9823,134.80621,41.615307,23.925428,68.56148,108.82357,43.983192,36.925922,0.0,0.0,0.0,5.1761236,0.0,2.0027008,7.3
2w66,-201.62675,-127.135735,-229.55815,123.79312,195.64923,158.87852,-63.836056,278.9537,380.84735,140.31601,0.0,0.0,0.0,4.2092075,0.0,1.5747175,4.05
2wbg,-245.9382,-177.26482,-297.22125,360.05316,-62.418167,-84.63731,140.15366,234.92087,-118.1464,7.6808276,0.0,0.0,0.0,4.6112695,0.0,1.5745645,4.45
2wca,-214.1027,-158.32394,-240.43633,233.0811,79.39918,47.111366,37.793808,182.84846,131.55283,124.081726,0.0,0.0,0.0,4.62441,0.0,1.4438069,5.6
2weg,-190.48059,-135.60689,-247.87129,107.1193,66.19284,44.680695,49.990814,166.22125,65.55267,98.801315,0.0,0.0,0.0,4.410392,0.0,1.8146439,6.5
2wer,-200.06918,-137.9987,-235.68343,74.702736,131.48694,124.43211,53.207497,361.63956,205.38701,287.38617,0.0,0.0,0.0,6.332184,0.0,2.2441168,7.05
2wn9,-225.99217,-162.12534,-292.50174,212.67422,-28.414953,-55.976246,272.39233,30.302567,-138.13164,24.273352,0.0,0.0,0.0,7.168208,0.0,2.7039983,8.52
2wnc,-186.99986,-153.37917,-224.32193,90.14009,126.760414,110.33732,27.978489,227.48006,215.41795,149.74084,0.0,0.0,0.0,6.385987,0.0,2.3812907,6.32
2wtv,-249.53612,-174.04108,-298.95718,276.56088,-77.13445,-94.90584,348.73013,125.32018,-151.58455,151.4224,0.0,0.0,0.0,9.825727,0.0,3.5129588,8.74
2wvt,-261.8713,-182.48456,-294.041,302.09314,70.15208,44.272087,239.56715,348.97116,110.16576,272.3886,0.0,0.0,0.0,3.776834,0.0,1.4778314,6.12
2x00,-217.31348,-138.24701,-295.3853,43.603065,-77.42703,-107.573425,294.78168,47.82402,-240.2691,207.08434,0.0,0.0,0.0,10.390655,0.0,3.6643686,11.33
2xb8,-128.04248,-98.73253,-195.48335,65.11949,18.987064,12.802638,32.421947,86.23998,6.217186,79.95593,0.0,0.0,0.0,7.452197,0.0,2.82786,7.59
2xbv,-252.91986,-153.73758,-324.4753,262.2898,-102.69426,-113.165016,317.7353,29.371815,-269.7439,-12.587689,0.0,0.0,0.0,8.477681,0.0,2.866964,8.43
2xdl,-194.71278,-142.62871,-220.20598,148.83507,173.47818,156.22174,-81.03704,297.25656,344.63776,45.67326,0.0,0.0,0.0,3.6093943,0.0,1.3189807,3.1
2xii,-283.5076,-220.76811,-319.0126,383.23813,-79.14858,-83.71738,437.10696,240.63715,-117.49277,102.42706,0.0,0.0,0.0,5.6605644,0.0,1.8563929,7.2
2xj7,-153.76074,-122.11031,-207.09518,104.17728,94.59251,83.089745,26.717966,193.36577,164.09532,146.65332,0.0,0.0,0.0,5.9649706,0.0,2.3492785,6.66
2xnb,-232.91151,-151.36629,-286.9275,286.73724,-59.122166,-69.80728,230.18364,111.04792,-148.97844,24.26181,0.0,0.0,0.0,6.676809,0.0,2.3327916,6.83
2xys,-226.20393,-155.17207,-265.58804,164.35408,60.855743,38.538666,161.65373,333.68478,50.52744,279.3732,0.0,0.0,0.0,8.625444,0.0,3.245921,7.42
2yfe,-244.33138,-177.96521,-311.70465,332.18527,-70.51103,-71.97567,267.73386,185.58679,-178.4455,54.518486,0.0,0.0,0.0,7.6279287,0.0,2.8126905,6.63
2yge,-268.73352,-198.58386,-331.2156,368.8208,-61.38498,-71.55906,267.74045,251.72969,-153.90796,-0.9430015,0.0,0.0,0.0,5.6264563,0.0,1.4939497,5.06
2yki,-215.05849,-149.97998,-287.04303,114.540344,-157.07184,-159.47586,316.54477,0.84914154,-284.16754,-45.52997,0.0,0.0,0.0,8.795147,0.0,3.061621,9.46
2ymd,-240.09074,-134.90372,-251.5674,208.0185,220.49495,173.959,-78.56627,424.00366,383.5898,280.83533,0.0,0.0,0.0,5.3506384,0.0,2.1668599,3.16
2zb1,-358.356,-256.36353,-419.56384,433.33133,-162.08232,-201.3383,420.85263,216.95473,-344.75476,-76.04129,0.0,0.0,0.0,5.56657,0.0,1.8808503,6.32
2zcq,-232.71819,-163.2035,-302.32413,260.84076,-91.03763,-120.848076,265.23856,49.329315,-208.73125,50.63683,0.0,0.0,0.0,8.0167265,0.0,2.990381,8.82
2zcr,-333.556,-238.66306,-382.0845,435.53348,-246.41159,-275.7662,421.06305,75.69263,-475.5198,-118.75079,0.0,0.0,0.0,6.714823,0.0,2.3227801,6.87
2zy1,-237.07101,-164.72581,-299.6745,298.00763,-92.54471,-118.49363,256.50232,52.91076,-216.07845,-17.973717,0.0,0.0,0.0,5.733869,0.0,2.0200746,7.4
3acw,-207.33994,-149.73177,-248.32628,252.066,-0.36414075,-20.596634,39.861027,209.11656,-7.261068,16.88183,0.0,0.0,0.0,7.1872153,0.0,2.7366621,4.76
3ag9,-312.9432,-202.50874,-394.70547,441.154,-290.7912,-301.78592,470.01196,-165.13373,-578.99036,-161.4351,0.0,0.0,0.0,8.26631,0.0,1.8705602,8.05
3ao4,-240.62248,-163.86551,-254.78693,299.92172,202.0697,158.8146,-50.172043,368.52847,345.24283,100.1945,0.0,0.0,0.0,5.2187753,0.0,2.0251544,2.07
3arp,-259.4585,-187.57903,-310.535,337.43643,-93.112976,-128.47316,296.38522,109.56501,-211.29573,-6.973305,0.0,0.0,0.0,8.059208,0.0,2.7365696,7.15
3aru,-245.46474,-141.68156,-248.32845,253.72267,315.78217,204.19185,-87.30037,433.664,495.22495,399.02206,0.0,0.0,0.0,3.8035917,0.0,1.2830431,3.22
3arv,-264.7135,-164.01631,-262.47775,8.642765,263.0549,212.51433,-21.489977,450.81317,377.65726,385.9914,0.0,0.0,0.0,4.931339,0.0,1.6350026,5.64
3ary,-247.33846,-148.48392,-247.05258,-4.4542317,301.68848,235.59172,-65.73373,422.98456,419.99036,433.59366,0.0,0.0,0.0,4.8905573,0.0,1.8474586,6.0
3b5r,-275.759,-212.26839,-338.53305,374.68854,-230.30435,-227.48277,457.1478,23.571888,-381.9414,-23.488354,0.0,0.0,0.0,8.560404,0.0,3.145696,8.77
3b65,-267.52332,-202.3915,-332.30795,332.5416,-209.81296,-215.88036,439.04855,23.454361,-347.17,11.309946,0.0,0.0,0.0,7.4435973,0.0,2.7402663,9.27
3b68,-263.44363,-201.29674,-325.19946,367.43524,-211.44002,-207.98926,427.5285,23.891066,-343.83972,-49.490345,0.0,0.0,0.0,7.928788,0.0,2.7792656,8.4
3bgz,-189.29552,-138.09901,-239.22768,172.59384,52.13737,43.206585,51.666138,153.00865,70.375565,48.941994,0.0,0.0,0.0,7.8998756,0.0,2.963889,6.26
3bv9,-205.88881,-157.79332,-265.57248,283.56714,-53.574745,-72.76853,69.199905,161.46085,-117.82634,3.105427,0.0,0.0,0.0,7.4561048,0.0,2.095766,5.36
3coy,-223.29909,-170.37468,-285.7546,341.4069,-88.32629,-92.51984,179.36131,87.263695,-166.70474,-20.620514,0.0,0.0,0.0,5.6691084,0.0,1.7787817,6.02
3coz,-180.44719,-142.42381,-228.54787,252.9321,36.361156,29.337927,68.91013,202.39478,83.965324,105.94504,0.0,0.0,0.0,5.454563,0.0,1.7149765,5.57
3d4z,-215.45395,-118.374275,-237.70818,15.921789,340.5189,211.95854,-112.757324,416.6761,536.47217,441.93753,0.0,0.0,0.0,4.484709,0.0,1.7569201,4.89
3d6q,-240.19011,-133.50905,-231.38318,231.55966,372.63196,253.1392,-177.06331,383.5194,491.82434,297.09436,0.0,0.0,0.0,4.026205,0.0,1.3111997,3.76
3dd0,-178.15172,-130.22697,-253.42395,73.15508,26.667149,5.9781666,128.47797,97.94316,-35.944733,129.81796,0.0,0.0,0.0,4.8199015,0.0,1.8445497,9.0
3dx1,-234.34619,-118.72579,-239.19548,106.695076,380.6138,213.28154,-162.02184,449.46774,576.30634,420.07248,0.0,0.0,0.0,4.1082773,0.0,1.7373304,3.58
3dx2,-187.3709,-111.04399,-224.49268,-33.357906,268.86325,172.34837,-56.86336,330.49954,389.5452,395.7782,0.0,0.0,0.0,4.852329,0.0,1.9781036,6.82
3dxg,-282.2374,-141.7308,-258.90466,365.7298,417.69403,268.0378,-195.77017,416.8935,546.26556,306.42688,0.0,0.0,0.0,3.71714,0.0,1.2148492,2.4
3e5a,-228.55252,-170.06683,-297.6122,288.28354,-69.42386,-77.89222,262.28552,106.68475,-157.42288,106.16574,0.0,0.0,0.0,8.477033,0.0,2.940297,8.23
3e92,-318.25293,-237.32298,-385.51773,391.6215,-145.03867,-174.96031,429.54623,145.15482,-283.6463,41.00054,0.0,0.0,0.0,7.5790215,0.0,2.7661512,8.0
3e93,-350.8079,-524.2042,-313.37762,618.7064,-419.37848,-288.4702,697.1817,-76.09518,-262.47882,-34.75582,0.0,0.0,0.0,10.032029,0.0,3.5088513,8.85
3ebp,-242.06432,-137.0492,-249.077,-17.678205,330.6574,242.70972,-98.654076,471.55582,491.9945,472.10736,0.0,0.0,0.0,8.117572,0.0,2.9362204,5.91
3ehy,-184.25658,-116.09999,-211.99733,-1.2323372,247.58044,183.13954,-133.46002,318.8783,402.7144,286.27563,0.0,0.0,0.0,4.92779,0.0,1.8662252,5.85
3ejr,-217.79863,-158.02153,-273.21674,126.39636,-30.554937,-42.963497,221.72713,131.13286,-85.922554,102.60575,0.0,0.0,0.0,6.399389,0.0,2.2657444,8.57
3f3c,-152.19139,-103.354385,-200.23682,-20.897934,175.79959,141.36552,-63.01452,195.60863,344.44907,244.28114,0.0,0.0,0.0,5.332435,0.0,2.16114,6.02
3f3d,-139.88835,-98.808495,-189.99344,-63.914486,223.67235,171.32086,-85.97917,161.42043,373.19955,312.9391,0.0,0.0,0.0,4.261868,0.0,1.8068774,7.16
3f3e,-141.7008,-99.69888,-191.13013,-75.61004,232.24342,176.05663,-87.75142,153.45435,375.16367,326.04288,0.0,0.0,0.0,4.252991,0.0,1.8035715,7.7
3fcq,-254.74513,-135.53111,-251.84477,238.60278,356.77066,272.2367,-119.39218,447.085,547.2188,426.62463,0.0,0.0,0.0,4.1883283,0.0,1.6290412,2.77
3fur,-206.92746,-145.02106,-272.5817,192.88637,-67.85002,-83.64835,247.94966,70.16256,-152.72964,44.303738,0.0,0.0,0.0,9.756355,0.0,3.5751503,8.0
3fv1,-195.10179,-148.0031,-268.52518,127.02036,-87.45806,-98.60247,219.2616,27.185127,-161.98187,3.0611675,0.0,0.0,0.0,7.4863577,0.0,2.8676968,9.3
3fv2,-218.39049,-175.93353,-280.91144,193.53264,-68.820244,-83.47517,204.62337,78.384346,-136.63618,-18.556206,0.0,0.0,0.0,7.015897,0.0,2.6902502,8.11
3g0w,-199.91109,-147.1153,-265.27332,208.03346,-102.357605,-100.556946,327.292,85.485146,-164.17827,93.45639,0.0,0.0,0.0,8.175094,0.0,3.0891736,9.52
3g2n,-280.44574,-214.35017,-306.4964,386.17978,-11.846619,-30.133606,110.00046,323.1377,-44.210236,23.048965,0.0,0.0,0.0,3.6286051,0.0,1.2059433,4.09
3g31,-357.08395,-150.0791,-311.51813,356.00772,529.89417,314.38766,-197.61615,562.9815,703.956,648.5183,0.0,0.0,0.0,3.3347821,0.0,1.1643021,2.89
3gbb,-188.65407,-142.82666,-251.79402,276.69064,-44.84154,-44.300507,156.6346,104.16704,-95.81773,21.180794,0.0,0.0,0.0,6.3513436,0.0,2.4559157,6.9
3gc5,-161.86122,-115.663315,-223.96608,44.811714,118.45247,103.00257,2.1642528,307.08737,117.83197,242.60347,0.0,0.0,0.0,6.6686616,0.0,2.5397513,7.26
3ge7,-176.9466,-129.37273,-246.2415,72.152794,16.567854,7.553195,150.3109,160.6274,-68.3328,184.08247,0.0,0.0,0.0,7.7998037,0.0,2.8551114,8.7
3gr2,-291.88956,-147.5236,-274.99542,243.25938,427.90067,263.5696,-195.38734,480.20114,648.86774,523.73975,0.0,0.0,0.0,3.0690756,0.0,1.1344564,2.52
3gv9,-298.13644,-120.81455,-276.8358,281.36154,436.01523,247.55557,-202.08733,488.92874,675.2579,552.8401,0.0,0.0,0.0,2.8960369,0.0,1.120429,2.12
3gy4,-249.89189,-126.60975,-245.07245,13.314369,413.60938,276.92142,-161.48244,459.77502,642.5024,505.78214,0.0,0.0,0.0,4.4909024,0.0,1.8801913,5.1
3jvr,-241.63095,-120.35861,-231.23376,-55.36835,416.81506,277.8231,-180.62431,471.0434,611.40936,535.4456,0.0,0.0,0.0,5.531806,0.0,1.9534249,5.72
